subject,state,device,fs,n_channels,channels,n_samples,duration_sec,recording_id,title_internal,label_mismatch,flags,file
Akshat,Concentrated,Emotiv,128.0,2,F7+F8,19270,150.5,Akshat_Concentrated_1732963415,Akshat-Relaxed-1,True,title_mismatch:Akshat-Relaxed-1,Akshat-Concentrated-1_EPOCFLEX_250510_2024.11.30T16.13.35+05.30.md.bp.csv
Akshat,Concentrated,Emotiv,128.0,2,F7+F8,19270,150.5,Akshat_Concentrated_1732963415,Akshat-Relaxed-1,True,title_mismatch:Akshat-Relaxed-1,Akshat-Concentrated-5_EPOCFLEX_250510_2024.11.30T16.13.35+05.30.md.bp.csv
Akshat,Concentrated,Emotiv,128.0,2,F7+F8,19270,150.5,Akshat_Concentrated_1732963415,Akshat-Relaxed-1,True,title_mismatch:Akshat-Relaxed-1,Akshat-Concentrated-6_EPOCFLEX_250510_2024.11.30T16.13.35+05.30.md.bp.csv
Akshat,Concentrated,Emotiv,128.0,2,F7+F8,19270,150.5,Akshat_Concentrated_1732963415,Akshat-Relaxed-1,True,title_mismatch:Akshat-Relaxed-1,Akshat-Concentrated-7_EPOCFLEX_250510_2024.11.30T16.13.35+05.30.md.bp.csv
Akshat,Concentrated,Emotiv,128.0,2,F7+F8,19540,152.7,Akshat_Concentrated_1732964198,Akshat-Concentrated-2,False,,Akshat-Concentrated-2_EPOCFLEX_250510_2024.11.30T16.26.38+05.30.md.bp.csv
Akshat,Concentrated,Emotiv,128.0,2,F7+F8,19540,152.7,Akshat_Concentrated_1732964198,Akshat-Concentrated-2,False,,Akshat-Concentrated-8_EPOCFLEX_250510_2024.11.30T16.26.38+05.30.md.bp.csv
Akshat,Concentrated,Emotiv,128.0,2,F7+F8,19540,152.7,Akshat_Concentrated_1732964198,Akshat-Concentrated-2,False,,Akshat-Concentrated-9_EPOCFLEX_250510_2024.11.30T16.26.38+05.30.md.bp.csv
Akshat,Concentrated,Emotiv,128.0,2,F7+F8,31162,243.5,Akshat_Concentrated_1732964896,Akshat-Concentrated-3,False,,Akshat-Concentrated-3_EPOCFLEX_250510_2024.11.30T16.38.16+05.30.md.bp.csv
Akshat,Concentrated,Emotiv,128.0,2,F7+F8,9193,71.8,Akshat_Concentrated_1732965218,Akshat-Concentrated-4,False,,Akshat-Concentrated-10_EPOCFLEX_250510_2024.11.30T16.43.38+05.30.md.bp.csv
Akshat,Concentrated,Emotiv,128.0,2,F7+F8,9193,71.8,Akshat_Concentrated_1732965218,Akshat-Concentrated-4,False,,Akshat-Concentrated-4_EPOCFLEX_250510_2024.11.30T16.43.38+05.30.md.bp.csv
Akshat,Neutral,Muse,250.0,2,AF7+AF8,15204,60.8,Akshat_Neutral_Akshat-Neutral-1,,False,,Akshat-Neutral-1.csv
Akshat,Neutral,Muse,250.0,2,AF7+AF8,15204,60.8,Akshat_Neutral_Akshat-Neutral-10,,False,,Akshat-Neutral-10.csv
Akshat,Neutral,Muse,250.0,2,AF7+AF8,15204,60.8,Akshat_Neutral_Akshat-Neutral-2,,False,,Akshat-Neutral-2.csv
Akshat,Neutral,Muse,250.0,2,AF7+AF8,15216,60.9,Akshat_Neutral_Akshat-Neutral-3,,False,,Akshat-Neutral-3.csv
Akshat,Neutral,Muse,250.0,2,AF7+AF8,2328,9.3,Akshat_Neutral_Akshat-Neutral-4,,False,,Akshat-Neutral-4.csv
Akshat,Neutral,Muse,250.0,2,AF7+AF8,15204,60.8,Akshat_Neutral_Akshat-Neutral-5,,False,,Akshat-Neutral-5.csv
Akshat,Neutral,Muse,250.0,2,AF7+AF8,15216,60.9,Akshat_Neutral_Akshat-Neutral-6,,False,,Akshat-Neutral-6.csv
Akshat,Neutral,Muse,250.0,2,AF7+AF8,15204,60.8,Akshat_Neutral_Akshat-Neutral-7,,False,,Akshat-Neutral-7.csv
Akshat,Neutral,Muse,250.0,2,AF7+AF8,15204,60.8,Akshat_Neutral_Akshat-Neutral-8,,False,,Akshat-Neutral-8.csv
Akshat,Neutral,Muse,250.0,2,AF7+AF8,15204,60.8,Akshat_Neutral_Akshat-Neutral-9,,False,,Akshat-Neutral-9.csv
Akshat,Relaxed,Emotiv,128.0,2,F7+F8,19285,150.7,Akshat_Relaxed_1732963026,Akshat-Relaxed-1,False,,Akshat-Relaxed-1_EPOCFLEX_250510_2024.11.30T16.07.06+05.30.md.bp.csv
Akshat,Relaxed,Emotiv,128.0,2,F7+F8,19285,150.7,Akshat_Relaxed_1732963026,Akshat-Relaxed-1,False,,Akshat-Relaxed-4_EPOCFLEX_250510_2024.11.30T16.07.06+05.30.md.bp.csv
Akshat,Relaxed,Emotiv,128.0,2,F7+F8,19285,150.7,Akshat_Relaxed_1732963026,Akshat-Relaxed-1,False,,Akshat-Relaxed-5_EPOCFLEX_250510_2024.11.30T16.07.06+05.30.md.bp.csv
Akshat,Relaxed,Emotiv,128.0,2,F7+F8,19285,150.7,Akshat_Relaxed_1732963026,Akshat-Relaxed-1,False,,Akshat-Relaxed-6_EPOCFLEX_250510_2024.11.30T16.07.06+05.30.md.bp.csv
Akshat,Relaxed,Emotiv,128.0,2,F7+F8,23113,180.6,Akshat_Relaxed_1732963706,Akshat-Relaxed-2,False,,Akshat-Relaxed-2_EPOCFLEX_250510_2024.11.30T16.18.26+05.30.md.bp.csv
Akshat,Relaxed,Emotiv,128.0,2,F7+F8,23113,180.6,Akshat_Relaxed_1732963706,Akshat-Relaxed-2,False,,Akshat-Relaxed-7_EPOCFLEX_250510_2024.11.30T16.18.26+05.30.md.bp.csv
Akshat,Relaxed,Emotiv,128.0,2,F7+F8,23113,180.6,Akshat_Relaxed_1732963706,Akshat-Relaxed-2,False,,Akshat-Relaxed-8_EPOCFLEX_250510_2024.11.30T16.18.26+05.30.md.bp.csv
Akshat,Relaxed,Emotiv,128.0,2,F7+F8,30877,241.2,Akshat_Relaxed_1732964575,Akshat-Relaxed-3,False,,Akshat-Relaxed-10_EPOCFLEX_250510_2024.11.30T16.32.55+05.30.md.bp.csv
Akshat,Relaxed,Emotiv,128.0,2,F7+F8,30877,241.2,Akshat_Relaxed_1732964575,Akshat-Relaxed-3,False,,Akshat-Relaxed-3_EPOCFLEX_250510_2024.11.30T16.32.55+05.30.md.bp.csv
Akshat,Relaxed,Emotiv,128.0,2,F7+F8,30877,241.2,Akshat_Relaxed_1732964575,Akshat-Relaxed-3,False,,Akshat-Relaxed-9_EPOCFLEX_250510_2024.11.30T16.32.55+05.30.md.bp.csv
